Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28,Name-additional
Erick Almonte,33,do DO,R,R,"6' 2""",245,2/1/78,3,16,6,16,9,0,0,2,0,0,0,0,0,7,7,0,8,0,-0.7,"$414,000 ",,almoner01
John Axford,28,ca CA,R,R,"6' 5""",234,4/1/83,3,74,0,71,74,74,0,0,0,0,0,0,0,0,0,0,0,0,2.3,"$442,500 ",,axforjo01
Yuniesky Betancourt,29,cu CU,R,R,"5' 10""",205,1/31/82,7,152,146,152,149,0,0,0,0,0,149,0,0,0,0,0,4,1,-0.1,"$4,300,000 ",,betanyu01
Brandon Boggs,28,us US,B,R,"6' 0""",210,1/9/83,4,16,2,16,5,0,0,0,0,0,0,2,1,2,5,0,12,1,0.0,,,boggsbr01
Zach Braddock,23,us US,L,L,"6' 2""",220,8/23/87,2,25,0,21,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$424,000 ",,braddza01
Ryan Braun,27,us US,R,R,"6' 2""",205,11/17/83,5,150,147,150,147,0,0,0,0,0,0,147,0,0,147,1,3,0,7.7,"$4,287,500 ",All-Star,braunry02
Brett Carroll,28,us US,R,R,"5' 11""",210,10/3/82,5,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.1,,,carrobr01
Craig Counsell,40,us US,L,R,"6' 0""",180,8/21/70,16,107,28,107,61,0,0,0,25,14,23,1,0,0,1,0,54,5,0.2,"$1,400,000 ",,counscr01
Frankie De La Cruz,27,do DO,R,R,"5' 11""",214,3/12/84,4,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,delaceu01
Mark DiFelice,34,us US,R,R,"6' 2""",190,8/23/76,3,3,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,difelma01
Tim Dillard,27,us US,R,R,"6' 5""",215,7/19/83,3,24,0,21,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,dillati01
Marco Estrada,27,mx MX,R,R,"6' 0""",180,7/5/83,4,43,7,40,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,estrama01
Eric Farris,25,us US,R,R,"5' 9""",180,3/3/86,1st,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,farrier01
Prince Fielder,27,us US,L,R,"5' 11""",275,5/9/84,7,162,162,162,159,0,0,159,0,0,0,0,0,0,0,3,0,0,4.5,"$15,500,000 ",All-Star,fieldpr01
Mike Fiers,26,us US,R,R,"6' 2""",211,6/15/85,1st,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,fiersmi01
Yovani Gallardo,25,mx MX,R,R,"6' 2""",205,2/27/86,5,33,33,31,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"$3,500,000 ",,gallayo01
Mat Gamel,25,us US,L,R,"6' 1""",220,7/26/85,4,10,7,10,7,0,0,2,0,3,0,2,0,0,2,2,1,0,-0.4,,,gamelma01
Carlos Gómez,25,do DO,R,R,"6' 3""",220,12/4/85,5,94,59,94,87,0,0,0,0,0,0,0,87,0,87,0,5,11,2.3,"$1,500,000 ",,gomezca01
Sean Green,32,us US,R,R,"6' 6""",230,4/20/79,6,14,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$875,000 ",,greense01
Taylor Green,24,ca CA,L,R,"6' 0""",195,11/2/86,1st,20,7,20,10,0,0,0,7,5,0,0,0,0,0,0,12,0,0.0,,,greenta01
Zack Greinke,27,us US,R,R,"6' 2""",200,10/21/83,8,29,28,27,28,28,0,0,0,0,0,0,0,0,0,0,1,0,1.5,"$13,500,000 ",,greinza01
Jerry Hairston,35,us US,R,R,"5' 10""",195,5/29/76,14,45,32,45,40,0,0,0,27,5,1,1,11,0,12,0,5,2,1.0,,,hairsje02
Corey Hart,29,us US,R,R,"6' 6""",240,3/24/82,8,130,123,130,126,0,0,0,0,0,0,0,0,126,126,0,7,0,3.2,"$6,833,333 ",,hartco01
LaTroy Hawkins,38,us US,R,R,"6' 5""",220,12/21/72,17,52,0,49,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$4,250,000 ",,hawkila01
Danny Herrera,26,us US,L,L,"5' 6""",165,10/21/84,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,herreda01
Brandon Kintzler,26,us US,R,R,"5' 10""",200,8/1/84,2,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$414,000 ",,kintzbr01
Mark Kotsay,35,us US,L,L,"6' 0""",220,12/2/75,15,104,50,104,63,0,0,11,0,0,0,19,10,30,54,0,45,0,0.2,"$800,000 ",,kotsama01
George Kottaras,28,ca CA,L,R,"6' 0""",200,5/10/83,4,49,31,49,36,0,36,0,0,0,0,0,0,0,0,0,14,0,0.5,"$440,000 ",,kottage01
Kameron Loe,29,us US,R,R,"6' 8""",245,9/10/81,7,72,0,69,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$1,250,000 ",,loeka01
Felipe López,31,pr PR,B,R,"6' 0""",205,5/12/80,11,16,11,16,12,0,0,0,11,1,0,0,0,0,0,0,4,0,-0.2,,,lopezfe01
Jonathan Lucroy,25,us US,R,R,"6' 0""",200,6/13/86,2,136,114,136,132,0,132,0,0,0,0,0,0,0,0,0,14,0,1.0,"$424,000 ",,lucrojo01
Martín Maldonado,24,pr PR,R,R,"6' 0""",230,8/16/86,1st,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0.0,,,maldoma01
Shaun Marcum,29,us US,R,R,"6' 0""",195,12/14/81,6,33,33,31,33,33,0,0,0,0,0,0,0,0,0,0,0,0,3.3,"$3,950,000 ",,marcush01
Mike McClendon,26,us US,R,R,"6' 5""",225,4/3/85,2,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,mcclemi01
